t,S,I,R
140,0.03431372549019608,0.8676470588235294,0.09803921568627451
141,0.03431372549019608,0.8676470588235294,0.09803921568627451
142,0.029411764705882353,0.8725490196078431,0.09803921568627451
143,0.0196078431372549,0.8774509803921569,0.10294117647058823
144,0.0196078431372549,0.8774509803921569,0.10294117647058823
145,0.0196078431372549,0.8774509803921569,0.10294117647058823
146,0.0196078431372549,0.8774509803921569,0.10294117647058823
147,0.0196078431372549,0.8774509803921569,0.10294117647058823
148,0.0196078431372549,0.8774509803921569,0.10294117647058823
149,0.0196078431372549,0.8774509803921569,0.10294117647058823
150,0.0196078431372549,0.8774509803921569,0.10294117647058823
151,0.0196078431372549,0.8774509803921569,0.10294117647058823
152,0.0196078431372549,0.8774509803921569,0.10294117647058823
153,0.0196078431372549,0.8774509803921569,0.10294117647058823
154,0.0196078431372549,0.8774509803921569,0.10294117647058823
155,0.0196078431372549,0.8774509803921569,0.10294117647058823
156,0.0196078431372549,0.8774509803921569,0.10294117647058823
157,0.0196078431372549,0.8774509803921569,0.10294117647058823
158,0.0196078431372549,0.8774509803921569,0.10294117647058823
159,0.0196078431372549,0.8774509803921569,0.10294117647058823
160,0.0196078431372549,0.8774509803921569,0.10294117647058823
161,0.0196078431372549,0.8774509803921569,0.10294117647058823
162,0.0196078431372549,0.8774509803921569,0.10294117647058823
163,0.0196078431372549,0.8774509803921569,0.10294117647058823
164,0.0196078431372549,0.8774509803921569,0.10294117647058823
165,0.0196078431372549,0.8774509803921569,0.10294117647058823
166,0.0196078431372549,0.8774509803921569,0.10294117647058823
167,0.0196078431372549,0.8774509803921569,0.10294117647058823
168,0.0196078431372549,0.8774509803921569,0.10294117647058823
169,0.0196078431372549,0.8774509803921569,0.10294117647058823
170,0.0196078431372549,0.8774509803921569,0.10294117647058823
171,0.0196078431372549,0.8774509803921569,0.10294117647058823
172,0.014705882352941176,0.8823529411764706,0.10294117647058823
173,0.014705882352941176,0.8823529411764706,0.10294117647058823
174,0.014705882352941176,0.8823529411764706,0.10294117647058823
175,0.014705882352941176,0.8823529411764706,0.10294117647058823
176,0.014705882352941176,0.8823529411764706,0.10294117647058823
177,0.014705882352941176,0.8823529411764706,0.10294117647058823
178,0.014705882352941176,0.8823529411764706,0.10294117647058823
179,0.014705882352941176,0.8823529411764706,0.10294117647058823
180,0.014705882352941176,0.8823529411764706,0.10294117647058823
181,0.014705882352941176,0.8823529411764706,0.10294117647058823
182,0.014705882352941176,0.8823529411764706,0.10294117647058823
183,0.014705882352941176,0.8823529411764706,0.10294117647058823
184,0.014705882352941176,0.8823529411764706,0.10294117647058823
185,0.014705882352941176,0.8823529411764706,0.10294117647058823
186,0.014705882352941176,0.8823529411764706,0.10294117647058823
187,0.014705882352941176,0.8823529411764706,0.10294117647058823
188,0.014705882352941176,0.8823529411764706,0.10294117647058823
189,0.014705882352941176,0.8823529411764706,0.10294117647058823
190,0.014705882352941176,0.8823529411764706,0.10294117647058823
191,0.014705882352941176,0.8823529411764706,0.10294117647058823
192,0.014705882352941176,0.8823529411764706,0.10294117647058823
193,0.014705882352941176,0.8823529411764706,0.10294117647058823
194,0.014705882352941176,0.8823529411764706,0.10294117647058823
195,0.00980392156862745,0.8872549019607843,0.10294117647058823
196,0.00980392156862745,0.8872549019607843,0.10294117647058823
197,0.004901960784313725,0.8921568627450981,0.10294117647058823
198,0.004901960784313725,0.8921568627450981,0.10294117647058823
199,0.004901960784313725,0.8921568627450981,0.10294117647058823
200,0.004901960784313725,0.8921568627450981,0.10294117647058823
201,0.004901960784313725,0.8921568627450981,0.10294117647058823
202,0.004901960784313725,0.8921568627450981,0.10294117647058823
203,0.004901960784313725,0.8921568627450981,0.10294117647058823
204,0.004901960784313725,0.8921568627450981,0.10294117647058823
205,0.004901960784313725,0.8921568627450981,0.10294117647058823
206,0.004901960784313725,0.8921568627450981,0.10294117647058823
207,0.004901960784313725,0.8921568627450981,0.10294117647058823
208,0.004901960784313725,0.8921568627450981,0.10294117647058823
209,0.004901960784313725,0.8921568627450981,0.10294117647058823
210,0.004901960784313725,0.8921568627450981,0.10294117647058823
211,0.004901960784313725,0.8921568627450981,0.10294117647058823
212,0.004901960784313725,0.8921568627450981,0.10294117647058823
213,0.004901960784313725,0.8921568627450981,0.10294117647058823
214,0.004901960784313725,0.8921568627450981,0.10294117647058823
215,0.004901960784313725,0.8921568627450981,0.10294117647058823
216,0.004901960784313725,0.8921568627450981,0.10294117647058823
